,ROC-AUC,Accuracy,Precision,Recall,F1-score,CV ROC-AUC mean,CV ROC-AUC std
Random Forest,0.935910564942823,0.8717948717948718,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.921718027455336,0.018341162958663962
LightGBM,0.9197815326847585,0.8461538461538461,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.9264412454356048,0.02342985861052315
CatBoost,0.9288274449564772,0.8653846153846154,0.8181818181818182,0.8571428571428571,0.8372093023255814,0.9404058482334067,0.013283452912113214
