iter	Logloss
0	0.6412679611
1	0.6007093614
2	0.5627859792
3	0.5356095837
4	0.5153943339
5	0.4905889573
6	0.4672771269
7	0.4528193935
8	0.4325951915
9	0.4231487397
10	0.4129352262
11	0.4029614233
12	0.3910919005
13	0.3858136823
14	0.3811400629
15	0.3714143076
16	0.3640148717
17	0.3548863934
18	0.3517955042
19	0.3452210888
20	0.340486065
21	0.3342929656
22	0.3309041608
23	0.3254284705
24	0.3195822316
25	0.3133189294
26	0.3085570797
27	0.3037680041
28	0.2999964068
29	0.2970405702
30	0.29381389
31	0.2914722504
32	0.2896186152
33	0.2876707815
34	0.2852097788
35	0.2812392327
36	0.2790830674
37	0.2784174642
38	0.2745741567
39	0.2688428202
40	0.2684336939
41	0.2662140323
42	0.2645091088
43	0.2629073974
44	0.2610439177
45	0.2588676022
46	0.2567160822
47	0.2552185982
48	0.2533878203
49	0.2509756396
50	0.2492379219
51	0.2477608035
52	0.2450873006
53	0.2430079983
54	0.2411995549
55	0.2399277226
56	0.2391797189
57	0.2376585622
58	0.235898064
59	0.2351322328
60	0.2327466934
61	0.2318453943
62	0.2299239866
63	0.2282138178
64	0.2273514348
65	0.2256166089
66	0.2240817008
67	0.222498463
68	0.2218580246
69	0.2207289665
70	0.2200727463
71	0.218014271
72	0.2159726081
73	0.2132651729
74	0.2122467564
75	0.2114977375
76	0.2107249998
77	0.2097239341
78	0.2085007698
79	0.2071820844
80	0.2050285493
81	0.2041200207
82	0.2028643854
83	0.2015013541
84	0.1996055111
85	0.1978918199
86	0.1961999093
87	0.1948665496
88	0.1939656965
89	0.1924701506
90	0.191091799
91	0.1894388199
92	0.1889786259
93	0.1871437565
94	0.1856083408
95	0.1845607758
96	0.1836365884
97	0.1823583418
98	0.180896636
99	0.1800889969
100	0.1789718136
101	0.1777517565
102	0.1765374522
103	0.1761283259
104	0.1757270444
105	0.1749892542
106	0.174592295
107	0.1733535336
108	0.1727311842
109	0.1721273853
110	0.170967502
111	0.1701695534
112	0.1696064088
113	0.1682298107
114	0.1673236355
115	0.1663268612
116	0.1659821541
117	0.1646880181
118	0.1640628999
119	0.1635218436
120	0.1625044423
121	0.1618917219
122	0.1612012002
123	0.1603258194
124	0.1595245484
125	0.1580838542
126	0.1565670659
127	0.1562985759
128	0.1551867762
129	0.1538741204
130	0.1530529453
131	0.1526473722
132	0.1506882175
133	0.1497436339
134	0.1489410862
135	0.1480758575
136	0.1467414825
137	0.1458642713
138	0.145289298
139	0.1442728196
140	0.1425953834
141	0.1416383866
142	0.1410135146
143	0.1396704335
144	0.138752845
145	0.1370684101
146	0.1363909014
147	0.1349578211
148	0.1346244812
149	0.1343215512
150	0.1332383617
151	0.132520368
152	0.1320090448
153	0.13089583
154	0.1304771977
155	0.1298504183
156	0.1289718151
157	0.1284316278
158	0.1276884079
159	0.1272802584
160	0.1266722833
161	0.1251945803
162	0.1249210604
163	0.1238099606
164	0.1229837248
165	0.1228428195
166	0.1221549819
167	0.1214147922
168	0.121195747
169	0.1206127213
170	0.1202319361
171	0.1201518736
172	0.1196572704
173	0.1193816277
174	0.1185339497
175	0.1180672492
176	0.1167922481
177	0.1166128036
178	0.1157085742
179	0.1148318014
180	0.1146696075
181	0.1142517828
182	0.1134063659
183	0.113077156
184	0.1125361073
185	0.1123023341
186	0.111420093
187	0.1109764422
188	0.1105816287
189	0.1103993847
190	0.109884139
191	0.1097069556
192	0.1090948966
193	0.1083286039
194	0.107691811
195	0.1062731512
196	0.1051546912
197	0.104408964
198	0.1036786495
199	0.1026138798
